 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  115       14367    4.936241e+00     6.800e-16     1.000e+00     3.223e-01     5.241e+01  
  116       14488    4.905717e+00     4.580e-16     1.000e+00     4.711e-01     2.140e+02  
  117       14609    4.861907e+00     9.021e-16     1.000e+00     1.088e+00     8.376e+01  
  118       14730    4.826401e+00     8.743e-16     1.000e+00     1.197e+00     1.215e+02  
  119       14851    4.798495e+00     4.441e-16     1.000e+00     6.672e-01     8.935e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  120       14972    4.767865e+00     6.661e-16     1.000e+00     6.421e-01     1.204e+02  
  121       15093    4.740040e+00     6.661e-16     1.000e+00     4.210e-01     1.197e+02  
  122       15214    4.708776e+00     4.441e-16     1.000e+00     8.732e-01     2.433e+02  
  123       15335    4.675686e+00     1.110e-15     1.000e+00     5.072e-01     9.881e+01  
  124       15456    4.652096e+00     8.743e-16     1.000e+00     2.913e-01     9.558e+01  
  125       15577    4.637674e+00     1.110e-15     1.000e+00     3.307e-01     4.302e+01  
  126       15698    4.625739e+00     6.661e-16     1.000e+00     3.189e-01     3.235e+01  
  127       15819    4.608771e+00     8.882e-16     1.000e+00     3.689e-01     5.706e+01  
  128       15940    4.592444e+00     1.096e-15     1.000e+00     6.153e-01     6.521e+01  
  129       16061    4.575896e+00     6.661e-16     1.000e+00     3.911e-01     4.824e+01  
  130       16182    4.566580e+00     8.882e-16     1.000e+00     2.658e-01     3.684e+01  
  131       16303    4.562603e+00     8.882e-16     1.000e+00     3.021e-01     7.020e+01  
  132       16424    4.555286e+00     6.661e-16     1.000e+00     1.699e-01     4.798e+01  
  133       16545    4.550699e+00     8.882e-16     1.000e+00     1.453e-01     2.714e+01  
  134       16666    4.545220e+00     6.661e-16     1.000e+00     1.969e-01     3.090e+01  
  135       16787    4.538245e+00     6.661e-16     1.000e+00     3.145e-01     2.616e+01  
  136       16908    4.532461e+00     8.882e-16     1.000e+00     2.697e-01     3.093e+01  
  137       17029    4.526268e+00     8.882e-16     1.000e+00     2.499e-01     1.698e+01  
  138       17150    4.518552e+00     8.882e-16     1.000e+00     3.243e-01     3.893e+01  
  139       17271    4.511065e+00     1.110e-15     1.000e+00     2.271e-01     5.384e+01  
  140       17392    4.502669e+00     1.124e-15     1.000e+00     2.465e-01     5.203e+01  
  141       17513    4.494693e+00     1.096e-15     1.000e+00     2.289e-01     6.107e+01  
  142       17634    4.487457e+00     8.882e-16     1.000e+00     2.254e-01     5.741e+01  
  143       17755    4.478853e+00     4.441e-16     1.000e+00     2.874e-01     5.060e+01  
  144       17876    4.465003e+00     6.800e-16     1.000e+00     5.070e-01     4.405e+01  
  145       17997    4.447654e+00     6.523e-16     1.000e+00     6.112e-01     3.994e+01  
  146       18118    4.432944e+00     8.882e-16     1.000e+00     2.093e-01     4.734e+01  
  147       18239    4.415402e+00     8.882e-16     1.000e+00     3.513e-01     4.993e+01  
  148       18360    4.406070e+00     1.110e-15     1.000e+00     2.346e-01     3.630e+01  
  149       18481    4.394005e+00     1.110e-15     1.000e+00     3.754e-01     4.746e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  150       18602    4.382573e+00     1.318e-15     1.000e+00     3.429e-01     5.294e+01  
  151       18723    4.371231e+00     1.346e-15     1.000e+00     2.496e-01     6.709e+01  
  152       18844    4.358526e+00     1.318e-15     1.000e+00     3.719e-01     4.519e+01  
  153       18965    4.347444e+00     8.743e-16     1.000e+00     3.624e-01     4.974e+01  
  154       19086    4.332892e+00     9.021e-16     1.000e+00     5.468e-01     5.215e+01  
  155       19207    4.319338e+00     6.661e-16     1.000e+00     3.746e-01     6.198e+01  
  156       19328    4.305383e+00     9.021e-16     1.000e+00     3.345e-01     5.885e+01  
  157       19449    4.294348e+00     6.661e-16     1.000e+00     3.056e-01     3.660e+01  
  158       19570    4.282887e+00     6.661e-16     1.000e+00     3.947e-01     2.453e+01  
  159       19691    4.270606e+00     8.882e-16     1.000e+00     5.765e-01     3.835e+01  
  160       19812    4.259134e+00     1.110e-15     1.000e+00     6.011e-01     4.989e+01  
  161       19933    4.242693e+00     1.110e-15     1.000e+00     1.047e+00     4.127e+01  
  162       20054    4.220462e+00     1.110e-15     1.000e+00     1.423e+00     6.671e+01  
  163       20175    4.197961e+00     6.661e-16     1.000e+00     1.504e+00     7.819e+01  
  164       20296    4.178074e+00     1.096e-15     1.000e+00     3.184e-01     7.383e+01  
  165       20417    4.163920e+00     8.882e-16     1.000e+00     3.217e-01     6.265e+01  
  166       20538    4.154117e+00     8.882e-16     1.000e+00     2.321e-01     4.482e+01  
  167       20659    4.148653e+00     6.523e-16     1.000e+00     2.839e-01     3.747e+01  
  168       20780    4.140590e+00     8.743e-16     1.000e+00     2.654e-01     2.859e+01  
  169       20901    4.130441e+00     8.882e-16     1.000e+00     3.552e-01     2.869e+01  
  170       21022    4.117585e+00     8.882e-16     1.000e+00     6.277e-01     3.466e+01  
  171       21143    4.104732e+00     9.021e-16     1.000e+00     7.071e-01     3.166e+01  
  172       21264    4.091205e+00     8.882e-16     1.000e+00     6.868e-01     6.571e+01  
  173       21385    4.072340e+00     6.661e-16     1.000e+00     5.162e-01     5.425e+01  
  174       21506    4.053621e+00     1.124e-15     1.000e+00     5.405e-01     3.518e+01  
  175       21627    4.040813e+00     1.110e-15     1.000e+00     4.101e-01     2.822e+01  
  176       21748    4.032260e+00     1.332e-15     1.000e+00     2.245e-01     2.190e+01  
  177       21869    4.024690e+00     1.110e-15     1.000e+00     7.517e-01     3.722e+01  
  178       21990    4.013116e+00     4.580e-16     1.000e+00     4.047e-01     5.136e+01  
  179       22111    4.002377e+00     8.882e-16     1.000e+00     3.190e-01     2.744e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  180       22232    3.993935e+00     6.661e-16     1.000e+00     4.262e-01     3.340e+01  
  181       22353    3.986228e+00     6.661e-16     1.000e+00     3.230e-01     1.562e+01  
  182       22474    3.979108e+00     8.882e-16     1.000e+00     2.454e-01     2.045e+01  
